catDiff,Lab 1,Lab 2, Variant Count
Pathogenic - Likely pathogenic,Center for Individualized Medicine Mayo Clinic,Emory Genetics Laboratory, 1
Pathogenic - Uncertain significance,Ambry Genetics,GeneReviews, 2
Pathogenic - Likely benign,CSER_CC_NCGL; University of Washington Medical Center,GeneReviews, 1
Uncertain significance - Pathogenic,Biesecker Laboratory - ClinSeq Project  NHGRI,GeneReviews, 2
Uncertain significance - Likely pathogenic,Biesecker Laboratory - ClinSeq Project  NHGRI,Ambry Genetics, 1
Pathogenic - Benign,Northcott Neuroscience Laboratory ANZAC Research Institute,OMIM, 1
Pathogenic - Likely benign,Emory Genetics Laboratory,OMIM, 11
Benign - Likely pathogenic,Emory Genetics Laboratory,GeneDx, 1
Likely benign - Uncertain significance,LabCorp,GeneDx, 1
Pathogenic - Likely pathogenic,Developmental Genetics Unit; King Faisal Specialist Hospital and Research Center,Emory Genetics Laboratory, 1
Uncertain significance - Likely benign,Ambry Genetics,Emory Genetics Laboratory, 1
Pathogenic - Likely pathogenic,Ambry Genetics,Emory Genetics Laboratory, 1
Pathogenic - Uncertain significance,Baylor Miraca Genetics Laboratories,OMIM, 1
Benign - Uncertain significance,Emory Genetics Laboratory,Claritas Genomics, 1
Benign - Likely benign,Emory Genetics Laboratory,Claritas Genomics, 2
Benign - Likely benign,RettBASE,GeneDx, 1
Uncertain significance - Benign,RettBASE,Emory Genetics Laboratory, 1
Uncertain significance - Pathogenic,GeneDx,Ambry Genetics, 1
Pathogenic - Uncertain significance,Molecular Diagnostics Laboratory Seoul National University Hospital,OMIM, 1
Likely pathogenic - Benign,Genetic Services Laboratory  University of Chicago,TilsonLab Columbia University, 1
Benign - Likely benign,Emory Genetics Laboratory,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario, 1
Benign - Likely pathogenic,Emory Genetics Laboratory,Developmental Genetics Unit; King Faisal Specialist Hospital and Research Center, 1
Benign - Likely benign,Emory Genetics Laboratory,Counsyl, 8
Uncertain significance - Likely benign,Emory Genetics Laboratory,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario, 1
Pathogenic - Benign,ARUP,OMIM, 1
Benign - Pathogenic,ARUP,GeneDx, 1
Pathogenic - Likely pathogenic,LabCorp,ARUP, 2
Benign - Likely benign,OMIM,LabCorp, 3
Benign - Pathogenic,OMIM,GeneDx, 1
Benign - Likely benign,LabCorp,ARUP, 1
Benign - Likely pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Molecular Genetics and Enzymology National Research Centre, 1
Likely benign - Benign,Genetic Services Laboratory  University of Chicago,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 1
Uncertain significance - Pathogenic,OMIM,Emory Genetics Laboratory, 3
Uncertain significance - Pathogenic,OMIM,Division of Human Genetics Children's Hospital of Philadelphia, 1
Uncertain significance - Pathogenic,OMIM,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 1
Benign - Pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Genetic Services Laboratory  University of Chicago, 1
Pathogenic - Uncertain significance,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 2
Likely pathogenic - Pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Genetic Services Laboratory  University of Chicago, 3
Likely pathogenic - Uncertain significance,Emory Genetics Laboratory,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 2
Pathogenic - Likely pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,GeneReviews, 1
Likely pathogenic - Pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Emory Genetics Laboratory, 4
Pathogenic - Likely benign,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,GeneReviews, 2
Pathogenic - Uncertain significance,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario,Emory Genetics Laboratory, 1
Pathogenic - Uncertain significance,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Emory Genetics Laboratory, 1
Uncertain significance - Likely pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Emory Genetics Laboratory, 1
Uncertain significance - Likely benign,Agnes Ginges Centre for Molecular Cardiology Centenary Institute,OMIM, 1
Benign - Likely benign,Emory Genetics Laboratory,Blueprint Genetics, 1
Benign - Uncertain significance,GeneReviews,Clinical Biochemistry Laboratory UCL Hospitals, 1
Uncertain significance - Likely benign,Department of Ophthalmology and Visual Sciences Kyoto University,OMIM, 1
Benign - Likely benign,Emory Genetics Laboratory,Department of Ophthalmology and Visual Sciences Kyoto University, 2
Likely pathogenic - Likely benign,Biesecker Laboratory - ClinSeq Project  NHGRI,GeneDx, 1
Pathogenic - Likely pathogenic,Counsyl,Unidad de Diagnostico y Tratamiento de Errores Congenitos del Metabolismo. Hospital Clínico Universitário de Santiago de Compostela, 2
Likely pathogenic - Uncertain significance,Genetic Services Laboratory  University of Chicago,LabCorp, 1
Pathogenic - Benign,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,GeneReviews, 1
Likely benign - Uncertain significance,Blueprint Genetics,GeneDx, 6
Pathogenic - Uncertain significance,OMIM,Samuels research lab Centre de Recherche du CHU Ste-Justine, 2
Uncertain significance - Likely benign,Emory Genetics Laboratory,LabCorp, 2
Benign - Uncertain significance,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust, 2
Pathogenic - Uncertain significance,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust, 10
Pathogenic - Likely pathogenic,Biesecker Laboratory - ClinSeq Project  NHGRI,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust, 7
Pathogenic - Likely benign,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust, 2
Uncertain significance - Likely benign,Biesecker Laboratory - ClinSeq Project  NHGRI,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust, 6
Pathogenic - Uncertain significance,Invitae,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust, 3
Pathogenic - Likely pathogenic,Laboratory for Medical Science Mathematics RIKEN,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust, 2
Pathogenic - Uncertain significance,Blueprint Genetics,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust, 1
Pathogenic - Likely pathogenic,GeneDx,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust, 15
Uncertain significance - Pathogenic,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust,GeneDx, 6
Uncertain significance - Benign,Biesecker Laboratory - ClinSeq Project  NHGRI,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust, 4
Benign - Uncertain significance,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust,GeneDx, 7
Benign - Uncertain significance,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust,Biesecker Laboratory - ClinSeq Project  NHGRI, 2
Pathogenic - Likely benign,Blueprint Genetics,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust, 4
Likely benign - Benign,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust,LabCorp, 2
Likely pathogenic - Pathogenic,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust,GeneDx, 3
Uncertain significance - Likely pathogenic,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust,GeneDx, 2
Uncertain significance - Likely benign,Blueprint Genetics,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust, 2
Likely pathogenic - Pathogenic,Richard Lifton Laboratory  Yale University School of Medicine,OMIM, 2
Likely pathogenic - Pathogenic,Invitae,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust, 1
Uncertain significance - Likely benign,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust, 2
Uncertain significance - Benign,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust, 1
Benign - Likely pathogenic,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust,GeneDx, 2
Likely benign - Pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,OMIM, 3
Likely pathogenic - Pathogenic,GeneDx,Center of Medical Genetics Sir Ganga Ram Hospital, 1
Likely pathogenic - Benign,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust,LabCorp, 1
Benign - Likely benign,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust,Biesecker Laboratory - ClinSeq Project  NHGRI, 1
Benign - Pathogenic,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust,GeneDx, 1
Uncertain significance - Pathogenic,Biesecker Laboratory - ClinSeq Project  NHGRI,GeneDx, 2
Likely benign - Uncertain significance,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust, 2
Pathogenic - Likely pathogenic,Laboratory for Medical Science Mathematics RIKEN,OMIM, 1
Pathogenic - Likely pathogenic,CSER_CC_NCGL; University of Washington Medical Center,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust, 2
Likely pathogenic - Pathogenic,LabCorp,Cardiovascular Biomedical Research Unit Royal Brompton & Harefield NHS Foundation Trust, 1
Pathogenic - Likely benign,Genetic Services Laboratory  University of Chicago,GeneReviews, 2
Pathogenic - Likely benign,GeneDx,GeneReviews, 1
Likely pathogenic - Pathogenic,CHU Sainte-Justine Research Center University of Montreal,OMIM, 1
Likely pathogenic - Uncertain significance,Invitae,Section of Medical Genetics; Telemark Hospital, 1
Pathogenic - Likely pathogenic,Invitae,OMIM, 1
Uncertain significance - Likely pathogenic,Emory Genetics Laboratory,Shaikh Laboratory  University of Colorado, 1
Pathogenic - Likely pathogenic,Shaikh Laboratory  University of Colorado,Emory Genetics Laboratory, 2
Pathogenic - Likely pathogenic,Shaikh Laboratory  University of Colorado,Genetic Services Laboratory  University of Chicago, 1
Uncertain significance - Likely pathogenic,OMIM,Developmental Genetics Unit; King Faisal Specialist Hospital and Research Center, 2
Likely pathogenic - Likely benign,CSER_CC_NCGL; University of Washington Medical Center,LabCorp, 2
Pathogenic - Likely benign,CSER_CC_NCGL; University of Washington Medical Center,LabCorp, 1
Pathogenic - Likely pathogenic,Institute for Integrative and Experimental Genomics University of Luebeck,CSER_CC_NCGL; University of Washington Medical Center, 2
Uncertain significance - Likely pathogenic,CSER_CC_NCGL; University of Washington Medical Center,Institute for Integrative and Experimental Genomics University of Luebeck, 1
Uncertain significance - Likely benign,Institute for Integrative and Experimental Genomics University of Luebeck,LabCorp, 1
Likely benign - Likely pathogenic,CSER_CC_NCGL; University of Washington Medical Center,Institute for Integrative and Experimental Genomics University of Luebeck, 1
Uncertain significance - Likely benign,Institute for Integrative and Experimental Genomics University of Luebeck,CSER_CC_NCGL; University of Washington Medical Center, 1
Likely pathogenic - Pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,OMIM, 1
Benign - Likely benign,LabCorp,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 2
Likely benign - Pathogenic,CSER_CC_NCGL; University of Washington Medical Center,GeneDx, 1
Uncertain significance - Likely benign,Biesecker Laboratory - ClinSeq Project  NHGRI,OMIM, 1
Benign - Likely benign,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,CSER_CC_NCGL; University of Washington Medical Center, 2
Uncertain significance - Likely benign,Invitae,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 2
Likely pathogenic - Uncertain significance,GeneDx,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 8
Likely benign - Uncertain significance,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Division of Human Genetics Children's Hospital of Philadelphia, 1
Pathogenic - Uncertain significance,ClinVar Staff  National Center for Biotechnology Information (NCBI),GeneReviews, 1
Pathogenic - Uncertain significance,GeneDx,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 1
Pathogenic - Likely pathogenic,UniProtKB/Swiss-Prot,OMIM, 1
Uncertain significance - Pathogenic,RettBASE,GeneDx, 3
Uncertain significance - Likely pathogenic,GeneDx,Developmental Genetics Unit; King Faisal Specialist Hospital and Research Center, 1
Likely benign - Benign,RettBASE,Emory Genetics Laboratory, 1
Uncertain significance - Benign,RettBASE,LabCorp, 1
Uncertain significance - Benign,Molecular Genetics Laboratory Children's Mercy Hospital and Clinics,GeneDx, 1
Likely pathogenic - Uncertain significance,RettBASE,LabCorp, 8
Pathogenic - Uncertain significance,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario,RettBASE, 1
Pathogenic - Benign,RettBASE,OMIM, 1
Uncertain significance - Benign,Genetic Services Laboratory  University of Chicago,RettBASE, 1
Uncertain significance - Benign,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario,RettBASE, 1
Uncertain significance - Benign,RettBASE,GeneDx, 1
Uncertain significance - Likely pathogenic,RettBASE,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario, 1
Pathogenic - Uncertain significance,RettBASE,GeneDx, 1
Uncertain significance - Benign,Genetic Services Laboratory  University of Chicago,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario, 1
Uncertain significance - Benign,RettBASE,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario, 1
Uncertain significance - Benign,Emory Genetics Laboratory,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario, 1
Pathogenic - Uncertain significance,RettBASE,Emory Genetics Laboratory, 1
Pathogenic - Likely pathogenic,Molecular Genetics Laboratory Children's Mercy Hospital and Clinics,OMIM, 1
Likely pathogenic - Pathogenic,LabCorp,RettBASE, 1
Benign - Likely benign,RettBASE,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario, 1
Benign - Uncertain significance,RettBASE,Genetic Services Laboratory  University of Chicago, 2
Benign - Uncertain significance,RettBASE,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario, 1
Benign - Likely benign,RettBASE,Genetic Services Laboratory  University of Chicago, 1
Uncertain significance - Likely benign,LabCorp,OMIM, 3
Uncertain significance - Likely pathogenic,OMIM,Emory Genetics Laboratory, 2
Uncertain significance - Benign,Invitae,LabCorp, 3
Likely benign - Benign,Invitae,LabCorp, 4
Likely pathogenic - Pathogenic,LabCorp,Emory Genetics Laboratory, 1
Benign - Uncertain significance,Biesecker Laboratory - ClinSeq Project  NHGRI,Emory Genetics Laboratory, 1
Benign - Likely benign,Biesecker Laboratory - ClinSeq Project  NHGRI,Ambry Genetics, 2
conflicting data from submitters - Pathogenic,International Standards For Cytogenomic Arrays Consortium (ISCA),ISCA site 4, 7
conflicting data from submitters - Uncertain significance,International Standards For Cytogenomic Arrays Consortium (ISCA),ISCA site 4, 18
Benign - Likely benign,GeneReviews,Counsyl, 3
Likely benign - Benign,Ambry Genetics,InSiGHT, 7
Uncertain significance - Pathogenic,InSiGHT,Ambry Genetics, 2
Uncertain significance - Benign,Ambry Genetics,LabCorp, 4
Uncertain significance - Benign,Pathway Genomics,LabCorp, 1
Uncertain significance - Benign,InSiGHT,LabCorp, 3
Benign - Uncertain significance,InSiGHT,GeneDx, 3
Benign - Uncertain significance,InSiGHT,Invitae, 3
Uncertain significance - Benign,InSiGHT,Biesecker Laboratory - ClinSeq Project  NHGRI, 5
Benign - Uncertain significance,InSiGHT,CSER_CC_NCGL; University of Washington Medical Center, 3
Benign - Uncertain significance,InSiGHT,Ambry Genetics, 2
Uncertain significance - Likely benign,Ambry Genetics,InSiGHT, 21
Uncertain significance - Likely pathogenic,InSiGHT,Ambry Genetics, 9
Pathogenic - Likely pathogenic,Ambry Genetics,InSiGHT, 1
Uncertain significance - Benign,InSiGHT,OMIM, 2
Uncertain significance - Likely benign,Ambry Genetics,OMIM, 1
Uncertain significance - Likely benign,InSiGHT,Biesecker Laboratory - ClinSeq Project  NHGRI, 6
Likely benign - Uncertain significance,InSiGHT,GeneDx, 9
Likely benign - Uncertain significance,InSiGHT,Invitae, 4
Uncertain significance - Likely benign,Emory Genetics Laboratory,InSiGHT, 1
Uncertain significance - Benign,Ambry Genetics,InSiGHT, 2
Uncertain significance - Benign,GeneDx,InSiGHT, 12
Uncertain significance - Benign,Ambry Genetics,OMIM, 2
Uncertain significance - Likely benign,Pathway Genomics,OMIM, 1
Benign - Likely benign,InSiGHT,Pathway Genomics, 2
Benign - Likely benign,InSiGHT,Emory Genetics Laboratory, 1
Benign - Likely benign,InSiGHT,GeneDx, 2
Uncertain significance - Likely benign,GeneDx,InSiGHT, 4
Likely pathogenic - Uncertain significance,Invitae,InSiGHT, 2
Likely pathogenic - Uncertain significance,GeneDx,InSiGHT, 1
Likely benign - Benign,Pathway Genomics,LabCorp, 8
Likely benign - Benign,Ambry Genetics,LabCorp, 9
Likely benign - Benign,InSiGHT,LabCorp, 9
Likely benign - Benign,GeneDx,InSiGHT, 13
Likely pathogenic - Pathogenic,InSiGHT,Ambry Genetics, 4
Likely benign - Uncertain significance,InSiGHT,CSER_CC_NCGL; University of Washington Medical Center, 3
Likely benign - Uncertain significance,InSiGHT,Ambry Genetics, 2
Likely benign - Benign,Invitae,InSiGHT, 4
Likely pathogenic - Pathogenic,InSiGHT,GeneDx, 2
Likely pathogenic - Uncertain significance,Ambry Genetics,InSiGHT, 2
Likely benign - Benign,Emory Genetics Laboratory,InSiGHT, 2
Benign - Likely benign,LabCorp,InSiGHT, 3
Likely pathogenic - Pathogenic,InSiGHT,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario, 3
Uncertain significance - Likely benign,Ambry Genetics,LabCorp, 2
Uncertain significance - Likely benign,InSiGHT,LabCorp, 3
Benign - Likely benign,InSiGHT,Ambry Genetics, 4
Uncertain significance - Likely benign,Invitae,InSiGHT, 6
Benign - Likely benign,InSiGHT,CSER_CC_NCGL; University of Washington Medical Center, 1
Likely pathogenic - Uncertain significance,InSiGHT,LabCorp, 4
Uncertain significance - Benign,Emory Genetics Laboratory,InSiGHT, 1
Likely benign - Uncertain significance,LabCorp,InSiGHT, 1
Uncertain significance - Likely benign,Pathway Genomics,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 1
Uncertain significance - Benign,InSiGHT,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 1
Uncertain significance - Likely benign,Ambry Genetics,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 1
Uncertain significance - Benign,Invitae,Emory Genetics Laboratory, 1
Uncertain significance - Likely benign,CSER_CC_NCGL; University of Washington Medical Center,InSiGHT, 3
Pathogenic - Likely pathogenic,InSiGHT,OMIM, 2
Benign - Likely benign,InSiGHT,Invitae, 2
Uncertain significance - Likely pathogenic,InSiGHT,GeneDx, 1
Uncertain significance - Pathogenic,InSiGHT,Invitae, 2
Likely pathogenic - Pathogenic,InSiGHT,Emory Genetics Laboratory, 1
Pathogenic - Uncertain significance,InSiGHT,OMIM, 2
Pathogenic - Uncertain significance,Invitae,InSiGHT, 1
Likely pathogenic - Likely benign,InSiGHT,LabCorp, 1
Likely pathogenic - Uncertain significance,Ambry Genetics,LabCorp, 2
Uncertain significance - Pathogenic,Biesecker Laboratory - ClinSeq Project  NHGRI,InSiGHT, 1
Pathogenic - Likely pathogenic,GeneDx,InSiGHT, 1
Likely pathogenic - Pathogenic,LabCorp,Ambry Genetics, 2
Likely benign - Benign,InSiGHT,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 2
Likely benign - Benign,Invitae,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 2
Likely benign - Uncertain significance,LabCorp,Biesecker Laboratory - ClinSeq Project  NHGRI, 1
Pathogenic - Benign,InSiGHT,OMIM, 1
Likely pathogenic - Pathogenic,LabCorp,InSiGHT, 1
Likely pathogenic - Pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,InSiGHT, 1
Likely pathogenic - Pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Ambry Genetics, 3
Pathogenic - Likely pathogenic,CSER_CC_NCGL; University of Washington Medical Center,InSiGHT, 1
Benign - Uncertain significance,OMIM,Department of Pharmacy and Biotechnology University of Bologna, 2
Uncertain significance - Pathogenic,Emory Genetics Laboratory,Genetic Services Laboratory  University of Chicago, 1
Benign - Uncertain significance,GeneDx,Department of Pharmacy and Biotechnology University of Bologna, 4
Benign - Uncertain significance,Biesecker Laboratory - ClinSeq Project  NHGRI,GeneDx, 1
Benign - Uncertain significance,Biesecker Laboratory - ClinSeq Project  NHGRI,Ambry Genetics, 1
Likely pathogenic - Pathogenic,Biesecker Laboratory - ClinSeq Project  NHGRI,Ambry Genetics, 1
Uncertain significance - Pathogenic,Invitae,GeneDx, 1
Uncertain significance - Likely pathogenic,Invitae,Ambry Genetics, 1
Pathogenic - Likely pathogenic,Pathway Genomics,Ambry Genetics, 1
Likely pathogenic - Pathogenic,Biesecker Laboratory - ClinSeq Project  NHGRI,GeneDx, 1
Likely pathogenic - Uncertain significance,Ambry Genetics,Biesecker Laboratory - ClinSeq Project  NHGRI, 1
Pathogenic - Likely pathogenic,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 23
Pathogenic - Likely pathogenic,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario,GeneDx, 1
Likely pathogenic - Uncertain significance,Blueprint Genetics,LabCorp, 2
Likely pathogenic - Uncertain significance,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario,LabCorp, 4
Uncertain significance - Likely pathogenic,CSER_CC_NCGL; University of Washington Medical Center,Biesecker Laboratory - ClinSeq Project  NHGRI, 6
Likely pathogenic - Uncertain significance,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 4
Uncertain significance - Pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Biesecker Laboratory - ClinSeq Project  NHGRI, 2
Uncertain significance - Likely pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Invitae, 3
Pathogenic - Likely pathogenic,Blueprint Genetics,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 5
Likely benign - Benign,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 2
Uncertain significance - Likely benign,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,CSER_CC_NCGL; University of Washington Medical Center, 2
Pathogenic - Likely pathogenic,CSER_CC_NCGL; University of Washington Medical Center,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 3
Likely pathogenic - Uncertain significance,GeneDx,CSER_CC_NCGL; University of Washington Medical Center, 1
Likely pathogenic - Likely benign,Invitae,CSER_CC_NCGL; University of Washington Medical Center, 1
Likely pathogenic - Pathogenic,Blueprint Genetics,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 1
Benign - Uncertain significance,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario,Emory Genetics Laboratory, 1
Uncertain significance - Likely benign,Agnes Ginges Centre for Molecular Cardiology Centenary Institute,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 1
Likely pathogenic - Uncertain significance,Invitae,GeneDx, 2
Likely pathogenic - Benign,GeneDx,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 1
Likely pathogenic - Uncertain significance,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario,GeneDx, 7
Likely pathogenic - Uncertain significance,Emory Genetics Laboratory,GeneDx, 1
Uncertain significance - Likely benign,Biesecker Laboratory - ClinSeq Project  NHGRI,LabCorp, 1
Pathogenic - Uncertain significance,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario,GeneDx, 4
Uncertain significance - Pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario, 2
Benign - Likely benign,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Blueprint Genetics, 3
Benign - Uncertain significance,Blueprint Genetics,GeneDx, 2
Likely benign - Uncertain significance,CSER_CC_NCGL; University of Washington Medical Center,Blueprint Genetics, 1
Benign - Likely benign,Blueprint Genetics,Emory Genetics Laboratory, 1
Benign - Likely benign,Blueprint Genetics,Biesecker Laboratory - ClinSeq Project  NHGRI, 1
Benign - Uncertain significance,Blueprint Genetics,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 1
Pathogenic - Likely pathogenic,Scripps Translational Science Institute Scripps Health and The Scripps Research Institute,OMIM, 1
Likely benign - Uncertain significance,GeneDx,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario, 2
Uncertain significance - Pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Agnes Ginges Centre for Molecular Cardiology Centenary Institute, 2
Uncertain significance - Likely benign,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario,LabCorp, 1
Pathogenic - Likely pathogenic,Blueprint Genetics,Evolutionary and Medical Genetics Laboratory   Centre for Cellular and Molecular Biology, 1
Uncertain significance - Likely pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Agnes Ginges Centre for Molecular Cardiology Centenary Institute, 3
Pathogenic - Likely pathogenic,Agnes Ginges Centre for Molecular Cardiology Centenary Institute,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 1
Uncertain significance - Pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Evolutionary and Medical Genetics Laboratory   Centre for Cellular and Molecular Biology, 1
Likely pathogenic - Pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Agnes Ginges Centre for Molecular Cardiology Centenary Institute, 2
Pathogenic - Uncertain significance,Biesecker Laboratory - ClinSeq Project  NHGRI,GeneDx, 2
Uncertain significance - Likely pathogenic,CSER_CC_NCGL; University of Washington Medical Center,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario, 2
Uncertain significance - Pathogenic,Blueprint Genetics,GeneDx, 3
Uncertain significance - Pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Department of Neurology  University Hospital of Strasbourg, 1
Pathogenic - Likely pathogenic,GeneDx,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine, 1
Likely pathogenic - Pathogenic,GeneDx,OMIM, 1
Uncertain significance - Pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,GeneReviews, 1
Uncertain significance - Pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Neurogenetics Laboratory Royal Perth Hospital, 1
Likely benign - Likely pathogenic,Laboratory for Molecular Medicine  Partners HealthCare Personalized Medicine,Molecular Genetics Diagnostic Laboratory Children's Hospital of Eastern Ontario, 1
